42.3346746667,-72.680787,00080
42.3346446667,-72.6808121667,00081
42.336257,-72.6824371667,00388
42.3365608333,-72.6827881667,00450
42.3368188333,-72.6832911667,00537
42.3533408333,-72.6636291667,04260
42.3579106667,-72.6924505,09318
42.3582375,-72.6935451667,09377
42.358458,-72.694107,09460
42.3587723333,-72.6951776667,09536
42.3590218333,-72.6959078333,09593
42.3593721667,-72.6977986667,09683
42.3594678333,-72.6988775,09764
42.3597775,-72.7005306667,09830
42.3600353333,-72.701946,09905
42.3605921667,-72.7040415,09993
42.3613158333,-72.705796,10066
42.361888,-72.7073111667,10141
42.3624551667,-72.7094228333,10215
42.3629008333,-72.7108801667,10277
42.3633626667,-72.7129395,10355
42.36358,-72.7149261667,10427
42.364059,-72.7169131667,4221.84261
42.364268,-72.718783,10561
42.3645528333,-72.7199413333,10597
42.3647998333,-72.7216363333,10654
42.3654976667,-72.7249501667,10768
42.3657065,-72.7271293333,10842
42.3659113333,-72.7289956667,10910
42.366045,-72.730258,10979
42.3661963333,-72.7316566667,11076
42.3669733333,-72.7329881667,11142
42.3675266667,-72.7340063333,11203
42.3678961667,-72.7349248333,11271
42.368164,-72.7357951667,11333
42.36912,-72.7385836667,11531
42.3692858333,-72.740127,11600
42.3694343333,-72.7413416667,11652
42.369622,-72.7428823333,11726
42.3696335,-72.744216,11794
42.3696756667,-72.745516,11904
42.3693405,-72.7470685,11989
42.3690333333,-72.7479781667,12061
42.3685738333,-72.7489978333,12146
42.3682061667,-72.7501825,12229
42.367875,-72.7509686667,12293
42.367515,-72.7517346667,12358
42.3672686667,-72.7522763333,12410
42.367052,-72.7529896667,12482
42.3669046667,-72.753346,12530
42.366734,-72.7540866667,12603
42.3666193333,-72.7547183333,12661
42.367312,-72.754495,12789
42.3678878333,-72.7543138333,12864
42.3686698333,-72.753773,12936
42.3695971667,-72.7529061667,13054
42.3705106667,-72.751817,13177
42.3713443333,-72.7499711667,13300
42.3715411667,-72.7481751667,13358
42.3713161667,-72.7454633333,13445
42.3715526667,-72.743017,13516
42.3710128333,-72.7402566667,13596
42.3684643333,-72.7355965,13756
42.3677616667,-72.7340595,13805
42.3664783333,-72.7321091667,13862
42.3650015,-72.7300283333,13932
42.3632223333,-72.7284003333,14007
42.3625751667,-72.7276551667,14047
42.362074,-72.7271806667,14095
42.361646,-72.7269836667,14123
42.3611455,-72.7269441667,14152
42.360637,-72.726911,14176
